20
A,1,1
B,3,5
C,5,6
D,2,8
E,7,2
F,4,4
G,6,7
H,8,3
I,9,9
J,10,2
K,11,6
L,12,4
M,13,8
N,14,1
O,15,5
P,16,7
Q,17,3
R,18,9
S,19,2
T,20,6
50
A,B,10
A,C,23
B,D,5
B,E,15
C,F,8
C,G,12
D,H,6
D,I,19
E,J,7
E,K,14
F,L,11
F,M,22
G,N,9
G,O,16
H,P,13
H,Q,4
I,R,18
I,S,1
J,T,20
J,A,25
K,B,6
K,C,17
L,D,3
L,E,21
M,F,8
M,G,13
N,H,5
N,I,16
O,J,11
O,K,7
P,L,9
P,M,24
Q,N,2
Q,O,15
R,P,12
R,Q,6
S,R,3
S,T,19
T,S,8
T,A,27
A,D,14
B,F,9
C,I,11
D,J,16
E,M,7
F,P,20
G,Q,5
H,R,18
I,T,12
J,K,3
K,N,22
L,O,8
M,S,15
N,P,6
O,Q,10
P,R,13
Q,S,4
R,T,17
S,A,26
